,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
1009,3.7,1.23,22.57,7.37,54.55,3378303.0,19.0
1008,3.58,1.25,22.58,7.34,59.5,4365030.0,22.0
1007,3.68,1.2,22.68,7.29,55.51,9985041.0,23.0
1006,3.79,1.25,23.01,7.41,55.7865,5838969.0,20.0
1005,4.05,1.13,22.78,7.39,69.4,28551660.0,20.0
1004,3.87,1.2,22.9,7.66,76.764,25072050.0,0.0
1003,3.99,1.17,22.85,7.94,87.8,22343570.0,0.0
1002,4.05,1.3,23.01,8.61,83.24,37103240.0,19.0
1001,3.92,1.34,23.24,8.77,84.842,16642860.0,22.0
1000,3.791,1.3,23.27,8.56,92.248,21577970.0,35.0
999,3.8,1.26,23.46,8.74,91.5,18986880.0,20.0
998,4.5,1.16,23.57,8.96,89.94,8326361.0,29.0
997,4.7,1.26,23.66,9.25,87.59,8996046.0,19.0
996,4.49,1.26,23.86,9.13,87.24,8564386.0,19.0
995,4.66,1.2,23.66,8.73,92.73,12015700.0,19.0
994,4.7,1.26,23.53,8.65,97.08,16077980.0,44.0
993,5.15,1.25,23.6,8.288,110.334,19596090.0,46.0
992,5.19,1.23,23.64,8.04,104.629,25061470.0,30.0
991,5.36,1.3,23.6,8.1,104.95,16129720.0,39.0
990,5.25,1.34,23.32,7.69,97.76,15145370.0,38.0
989,4.98,1.37,23.64,7.58,92.59,19134000.0,32.0
988,5.08,1.3,23.66,7.83,94.84,8837894.0,19.0
987,5.24,1.28,23.32,7.5,95.37,12209560.0,23.0
986,5.03,1.28,23.38,7.55,97.35,9509080.0,23.0
985,5.07,1.26,23.86,7.59,102.04,10706180.0,41.0
984,5.1,1.27,23.78,7.69,100.05,9207140.0,20.0
983,5.3,1.22,23.58,7.48,94.47,7391870.0,19.0
982,5.25,1.22,23.5,7.61,97.73,9184497.0,19.0
981,5.28,1.27,23.68,7.88,98.18,5961343.0,0.0
980,5.17,1.3,23.52,7.43,100.3,6561448.0,0.0
979,4.89,1.3,23.77,7.77,102.2,7063642.0,0.0
978,4.98,1.36,24.33,7.86,103.39,8793233.0,21.0
977,5.67,1.35,23.98,7.67,104.68,8578292.0,20.0
976,6.35,1.22,23.25,7.3,100.65,10103660.0,26.0
975,6.41,1.24,23.36,7.49,99.55,11702490.0,48.0
974,7.07,1.2,22.93,7.2,101.49,7115222.0,30.0
